2025-02-14 22:23:20,229 [trainer.py] => config: ./exps/podnet.json
2025-02-14 22:23:20,230 [trainer.py] => prefix: reproduce
2025-02-14 22:23:20,231 [trainer.py] => dataset: cifar100
2025-02-14 22:23:20,231 [trainer.py] => memory_size: 2000
2025-02-14 22:23:20,232 [trainer.py] => memory_per_class: 20
2025-02-14 22:23:20,232 [trainer.py] => fixed_memory: True
2025-02-14 22:23:20,233 [trainer.py] => shuffle: True
2025-02-14 22:23:20,233 [trainer.py] => init_cls: 5
2025-02-14 22:23:20,233 [trainer.py] => increment: 5
2025-02-14 22:23:20,234 [trainer.py] => model_name: podnet
2025-02-14 22:23:20,234 [trainer.py] => convnet_type: cosine_resnet32
2025-02-14 22:23:20,234 [trainer.py] => device: [device(type='cuda', index=0)]
2025-02-14 22:23:20,235 [trainer.py] => seed: 1993
2025-02-14 22:23:22,268 [data_manager.py] => [68, 56, 78, 8, 23, 84, 90, 65, 74, 76, 40, 89, 3, 92, 55, 9, 26, 80, 43, 38, 58, 70, 77, 1, 85, 19, 17, 50, 28, 53, 13, 81, 45, 82, 6, 59, 83, 16, 15, 44, 91, 41, 72, 60, 79, 52, 20, 10, 31, 54, 37, 95, 14, 71, 96, 98, 97, 2, 64, 66, 42, 22, 35, 86, 24, 34, 87, 21, 99, 0, 88, 27, 18, 94, 11, 12, 47, 25, 30, 46, 62, 69, 36, 61, 7, 63, 75, 5, 32, 4, 51, 48, 73, 93, 39, 67, 29, 49, 57, 33]
2025-02-14 22:23:25,056 [trainer.py] => All params: 466256
2025-02-14 22:23:25,056 [trainer.py] => Trainable params: 466256
2025-02-14 22:23:25,056 [podnet.py] => Learning on 0-5
2025-02-14 22:23:25,060 [podnet.py] => Adaptive factor: 0
2025-02-14 22:23:28,180 [podnet.py] => Task 0, Epoch 1/160 (LR 0.09999) => LSC_loss 1.61, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 23.76, Test_acc 39.00
2025-02-14 22:23:29,337 [podnet.py] => Task 0, Epoch 2/160 (LR 0.09996) => LSC_loss 1.58, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 40.32, Test_acc 41.20
2025-02-14 22:23:30,444 [podnet.py] => Task 0, Epoch 3/160 (LR 0.09991) => LSC_loss 1.40, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 47.48, Test_acc 51.20
2025-02-14 22:23:31,595 [podnet.py] => Task 0, Epoch 4/160 (LR 0.09985) => LSC_loss 1.15, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 55.84, Test_acc 51.20
2025-02-14 22:23:32,746 [podnet.py] => Task 0, Epoch 5/160 (LR 0.09976) => LSC_loss 1.00, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 63.28, Test_acc 46.40
2025-02-14 22:23:33,920 [podnet.py] => Task 0, Epoch 6/160 (LR 0.09965) => LSC_loss 0.85, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 69.16, Test_acc 60.00
2025-02-14 22:23:35,071 [podnet.py] => Task 0, Epoch 7/160 (LR 0.09953) => LSC_loss 0.78, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 70.48, Test_acc 74.40
2025-02-14 22:23:36,192 [podnet.py] => Task 0, Epoch 8/160 (LR 0.09938) => LSC_loss 0.67, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 74.44, Test_acc 64.60
2025-02-14 22:23:37,334 [podnet.py] => Task 0, Epoch 9/160 (LR 0.09922) => LSC_loss 0.67, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 75.56, Test_acc 73.60
2025-02-14 22:23:38,538 [podnet.py] => Task 0, Epoch 10/160 (LR 0.09904) => LSC_loss 0.61, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 78.36, Test_acc 75.40
2025-02-14 22:23:39,645 [podnet.py] => Task 0, Epoch 11/160 (LR 0.09884) => LSC_loss 0.59, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 79.76, Test_acc 78.20
