2025-02-13 18:13:39,368 [trainer.py] => config: ./exps/podnet2.json
2025-02-13 18:13:39,369 [trainer.py] => prefix: reproduce
2025-02-13 18:13:39,370 [trainer.py] => dataset: imagenet100
2025-02-13 18:13:39,370 [trainer.py] => memory_size: 2000
2025-02-13 18:13:39,370 [trainer.py] => memory_per_class: 20
2025-02-13 18:13:39,371 [trainer.py] => fixed_memory: True
2025-02-13 18:13:39,371 [trainer.py] => shuffle: True
2025-02-13 18:13:39,372 [trainer.py] => init_cls: 10
2025-02-13 18:13:39,372 [trainer.py] => increment: 10
2025-02-13 18:13:39,372 [trainer.py] => model_name: podnet
2025-02-13 18:13:39,373 [trainer.py] => convnet_type: cosine_resnet18
2025-02-13 18:13:39,373 [trainer.py] => device: [device(type='cuda', index=0)]
2025-02-13 18:13:39,373 [trainer.py] => seed: 1993
2025-02-13 18:13:42,576 [data_manager.py] => [68, 56, 78, 8, 23, 84, 90, 65, 74, 76, 40, 89, 3, 92, 55, 9, 26, 80, 43, 38, 58, 70, 77, 1, 85, 19, 17, 50, 28, 53, 13, 81, 45, 82, 6, 59, 83, 16, 15, 44, 91, 41, 72, 60, 79, 52, 20, 10, 31, 54, 37, 95, 14, 71, 96, 98, 97, 2, 64, 66, 42, 22, 35, 86, 24, 34, 87, 21, 99, 0, 88, 27, 18, 94, 11, 12, 47, 25, 30, 46, 62, 69, 36, 61, 7, 63, 75, 5, 32, 4, 51, 48, 73, 93, 39, 67, 29, 49, 57, 33]
2025-02-13 18:13:48,196 [trainer.py] => All params: 11689512
2025-02-13 18:13:48,197 [trainer.py] => Trainable params: 11689512
2025-02-13 18:13:48,198 [podnet.py] => Learning on 0-10
2025-02-13 18:13:48,205 [podnet.py] => Adaptive factor: 0
2025-02-13 18:15:19,580 [podnet.py] => Task 0, Epoch 1/160 (LR 0.09999) => LSC_loss 2.14, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 29.24, Test_acc 25.40
2025-02-13 18:16:21,222 [podnet.py] => Task 0, Epoch 2/160 (LR 0.09996) => LSC_loss 1.81, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 42.03, Test_acc 39.00
2025-02-13 18:17:27,869 [podnet.py] => Task 0, Epoch 3/160 (LR 0.09991) => LSC_loss 1.63, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 49.34, Test_acc 52.80
2025-02-13 18:18:37,137 [podnet.py] => Task 0, Epoch 4/160 (LR 0.09985) => LSC_loss 1.52, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 52.98, Test_acc 50.40
2025-02-13 18:19:50,518 [podnet.py] => Task 0, Epoch 5/160 (LR 0.09976) => LSC_loss 1.42, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 57.09, Test_acc 53.00
2025-02-13 18:20:59,535 [podnet.py] => Task 0, Epoch 6/160 (LR 0.09965) => LSC_loss 1.35, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 59.16, Test_acc 58.20
2025-02-13 18:22:08,787 [podnet.py] => Task 0, Epoch 7/160 (LR 0.09953) => LSC_loss 1.30, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 60.53, Test_acc 58.80
2025-02-13 18:23:17,283 [podnet.py] => Task 0, Epoch 8/160 (LR 0.09938) => LSC_loss 1.23, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 63.36, Test_acc 67.20
2025-02-13 18:24:23,820 [podnet.py] => Task 0, Epoch 9/160 (LR 0.09922) => LSC_loss 1.19, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 64.20, Test_acc 54.80
2025-02-13 18:25:32,570 [podnet.py] => Task 0, Epoch 10/160 (LR 0.09904) => LSC_loss 1.15, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 65.50, Test_acc 62.20
2025-02-13 18:26:43,476 [podnet.py] => Task 0, Epoch 11/160 (LR 0.09884) => LSC_loss 1.12, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 66.20, Test_acc 66.00
2025-02-13 18:27:54,893 [podnet.py] => Task 0, Epoch 12/160 (LR 0.09862) => LSC_loss 1.10, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 67.51, Test_acc 56.00
2025-02-13 18:29:06,597 [podnet.py] => Task 0, Epoch 13/160 (LR 0.09838) => LSC_loss 1.07, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 68.06, Test_acc 70.00
2025-02-13 18:30:16,728 [podnet.py] => Task 0, Epoch 14/160 (LR 0.09812) => LSC_loss 1.06, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 68.21, Test_acc 69.60
2025-02-13 18:31:28,018 [podnet.py] => Task 0, Epoch 15/160 (LR 0.09785) => LSC_loss 1.02, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 69.32, Test_acc 61.80
2025-02-13 18:32:37,463 [podnet.py] => Task 0, Epoch 16/160 (LR 0.09755) => LSC_loss 1.03, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 69.08, Test_acc 63.40
2025-02-13 18:33:47,752 [podnet.py] => Task 0, Epoch 17/160 (LR 0.09724) => LSC_loss 1.02, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 69.17, Test_acc 63.40
2025-02-13 18:34:56,812 [podnet.py] => Task 0, Epoch 18/160 (LR 0.09691) => LSC_loss 0.98, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 71.17, Test_acc 68.40
2025-02-13 18:36:04,544 [podnet.py] => Task 0, Epoch 19/160 (LR 0.09656) => LSC_loss 0.96, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 71.57, Test_acc 69.00
2025-02-13 18:37:14,192 [podnet.py] => Task 0, Epoch 20/160 (LR 0.09619) => LSC_loss 0.94, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 72.36, Test_acc 69.80
2025-02-13 18:38:22,553 [podnet.py] => Task 0, Epoch 21/160 (LR 0.09581) => LSC_loss 0.94, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 72.34, Test_acc 74.40
2025-02-13 18:39:30,180 [podnet.py] => Task 0, Epoch 22/160 (LR 0.09541) => LSC_loss 0.93, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 72.67, Test_acc 74.40
2025-02-13 18:40:35,789 [podnet.py] => Task 0, Epoch 23/160 (LR 0.09499) => LSC_loss 0.90, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 73.60, Test_acc 73.60
2025-02-13 18:41:45,213 [podnet.py] => Task 0, Epoch 24/160 (LR 0.09455) => LSC_loss 0.88, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 74.06, Test_acc 64.80
2025-02-13 18:42:52,668 [podnet.py] => Task 0, Epoch 25/160 (LR 0.09410) => LSC_loss 0.90, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 73.59, Test_acc 63.60
